,title,director,actor0,actor1,genre0,genre1,district,rate,rm
250,小叮当：永无兽传奇,Steve Loter,金妮弗·古德温,梅·惠特曼,动画,家庭,美国,7.8,1
251,10年计划,J.C. Calciano,Jack Turner,Michael Hamilton,喜剧,同性,美国,6.8,0
252,鬼驱人,吉尔·克兰,山姆·洛克威尔,罗丝玛丽·德薇特,惊悚,恐怖,美国,5.2,0
253,无赖汉,吴胜旭,全度妍,金南佶,剧情,爱情,韩国,5.4,0
254,ST 红白的搜查档案,佐藤东弥,藤原龙也,岡田将生,惊悚,UNK,日本,6.9,0
255,行过死荫之地,斯科特·弗兰克,连姆·尼森,帕特里克·麦克戴德,剧情,悬疑,美国,6.3,0
256,灭绝：丧尸屠城,Miguel Ángel Vivas,马修·福克斯,阿娜·欧蕾利,剧情,科幻,西班牙,5.4,0
257,仲夏夜魔法,嘉里·瑞德斯托姆,克里斯汀·肯诺恩斯,埃文·蕾切尔·伍德,动画,歌舞,美国,7.5,1
258,爸爸的假期,王岳伦,郭涛,林志颖,喜剧,家庭,中国大陆,4.1,0
259,逆转胜,孔玟燕,温尚翊,黄姵嘉,剧情,喜剧,台湾,6.8,0
260,今天的恋爱,朴珍杓,李昇基,文彩元,喜剧,爱情,韩国,5.9,0
